Reading_ID,Temperature_C,Vibration_mm_s,Inlet_Pressure_bar,Outlet_Pressure_bar,Flow_Rate_Lmin,RPM,Power_kW,Operating_Hours,Condition
349,74.5,3.47,1.11,5.22,114.8,1452.0,4.51,3421.0,Normal
350,75.5,3.67,1.13,5.17,111.8,1463.0,4.42,3481.0,Normal
351,72.8,3.89,1.31,5.4,117.2,1447.0,4.72,3526.0,Normal
352,72.7,4.36,1.12,5.03,113.1,1466.0,4.69,3526.0,Normal
353,71.3,4.11,1.1,5.19,122.1,1425.0,4.38,3539.0,Normal
354,71.4,3.71,1.21,5.06,117.3,1429.0,4.43,3519.0,Normal
355,72.7,3.77,1.07,5.02,113.8,1453.0,4.44,3520.0,Normal
356,73.9,3.38,1.16,5.13,113.7,1446.0,4.39,3588.0,Normal
357,75.0,3.78,1.28,5.14,115.3,1458.0,4.49,3545.0,Normal
358,71.6,3.67,1.09,5.48,114.8,1442.0,4.34,3579.0,Normal
359,76.2,3.92,1.07,5.1,118.9,1432.0,4.29,3585.0,Normal
360,72.6,3.47,1.09,4.99,116.1,1440.0,4.55,3634.0,Normal
361,73.2,4.01,1.21,5.16,113.3,1424.0,4.55,3629.0,Normal
362,71.7,4.42,1.22,4.88,121.1,1429.0,4.34,3571.0,Normal
363,68.4,3.77,1.14,5.11,115.6,1454.0,4.6,3584.0,Normal
364,75.0,3.97,1.2,5.13,117.7,1453.0,4.37,3647.0,Normal
365,74.7,4.09,1.24,5.22,113.6,1447.0,4.5,3638.0,Normal
366,72.7,3.66,1.26,5.24,116.5,1422.0,4.59,3636.0,Normal
367,73.4,3.92,1.15,5.06,116.3,1438.0,4.46,3690.0,Normal
368,74.4,3.83,1.05,5.1,109.7,1428.0,4.53,3676.0,Normal
369,70.2,3.87,1.13,5.03,121.4,1456.0,4.39,3682.0,Normal
370,72.3,3.53,1.15,4.99,119.2,1435.0,4.44,3713.0,Normal
371,75.0,3.85,1.15,5.16,114.2,1429.0,4.44,3689.0,Normal
372,70.9,4.05,1.16,4.97,112.0,1443.0,4.36,3757.0,Normal
373,74.0,4.43,1.22,5.07,116.4,1434.0,4.44,3696.0,Normal
374,70.7,4.24,1.23,5.0,115.6,1460.0,4.24,3750.0,Normal
375,74.4,4.72,1.16,5.19,116.4,1433.0,4.4,3783.0,Normal
376,73.4,3.56,1.22,5.34,115.9,1425.0,4.43,3709.0,Normal
377,70.2,4.22,1.18,4.96,116.8,1416.0,4.43,3750.0,Normal
378,75.8,3.94,1.17,4.9,119.6,1442.0,4.44,3804.0,Normal
379,72.0,4.75,1.21,5.1,117.0,1435.0,4.47,3815.0,Normal
380,71.9,3.56,1.17,5.12,112.1,1425.0,4.55,3785.0,Normal
381,73.9,3.55,1.27,5.14,119.3,1456.0,4.61,3778.0,Normal
382,75.8,3.65,1.09,5.06,120.1,1450.0,4.38,3839.0,Normal
383,71.5,3.04,1.14,5.09,124.7,1441.0,4.3,3856.0,Normal
384,73.7,3.69,1.16,5.16,111.8,1458.0,4.32,3795.0,Normal
385,74.5,3.6,1.19,5.24,115.9,1450.0,4.41,3804.0,Normal
386,75.0,3.96,1.23,4.88,108.9,1432.0,4.43,3857.0,Normal
387,74.0,4.05,1.16,5.07,116.8,1429.0,4.37,3879.0,Normal
388,72.9,4.66,1.09,5.14,113.5,1451.0,4.29,3861.0,Normal
389,72.0,4.3,1.21,5.0,120.9,1446.0,4.42,3900.0,Normal
390,73.9,3.69,1.2,5.32,112.8,1443.0,4.51,3869.0,Normal
391,71.6,3.57,1.07,5.04,110.0,1431.0,4.57,3837.0,Normal
392,67.9,4.13,1.16,5.11,113.7,1449.0,4.4,3897.0,Normal
393,74.6,3.41,1.08,5.18,109.1,1432.0,4.42,3922.0,Normal
394,75.6,4.67,1.13,5.04,117.3,1440.0,4.35,3922.0,Normal
395,69.0,4.41,1.12,4.89,108.8,1459.0,4.48,3905.0,Normal
396,71.8,3.76,1.2,5.06,115.1,1433.0,4.36,3896.0,Normal
397,75.0,3.27,1.17,5.24,108.8,1422.0,4.58,3945.0,Normal
398,77.9,4.5,1.1,5.07,114.0,1428.0,4.22,3997.0,Normal
399,73.9,3.91,1.21,5.01,119.9,1453.0,4.44,4018.0,Normal
400,72.4,4.46,1.09,5.22,116.1,1444.0,4.54,4026.0,Normal
401,73.5,3.33,1.18,5.07,112.4,1439.0,4.52,3976.0,Normal
402,76.6,3.73,1.12,5.05,114.8,1435.0,4.9,3975.0,Normal
403,72.6,3.98,1.14,5.13,115.0,1447.0,4.55,4035.0,Normal
404,72.3,4.0,1.19,5.2,116.3,1431.0,4.35,4049.0,Normal
405,73.0,3.81,1.19,5.39,110.8,1445.0,4.48,4052.0,Normal
406,72.1,4.24,1.23,5.21,116.7,1432.0,4.23,3990.0,Normal
407,74.2,3.57,1.16,5.25,106.8,1430.0,4.49,4034.0,Normal
408,77.2,3.94,1.18,5.05,113.0,1433.0,4.37,4069.0,Normal
409,74.7,4.05,1.14,4.98,113.4,1436.0,4.64,4095.0,Normal
410,73.5,4.21,1.17,5.11,116.7,1440.0,4.42,4113.0,Normal
411,73.5,4.3,1.18,5.12,114.9,1443.0,4.49,4104.0,Normal
412,70.9,3.57,1.15,4.98,110.6,1396.0,4.41,4120.0,Normal
413,75.9,3.41,1.07,5.08,111.8,1431.0,4.77,4123.0,Normal
414,73.9,4.54,1.18,5.15,115.4,1436.0,4.46,4151.0,Normal
415,73.8,4.16,1.18,5.15,114.5,1458.0,4.78,4149.0,Normal
416,80.5,3.74,1.12,5.16,113.0,1427.0,4.63,4152.0,Normal
417,74.8,4.66,1.09,5.14,113.3,1442.0,4.58,4152.0,Normal
418,72.7,4.09,1.23,5.04,116.8,1458.0,4.56,4172.0,Normal
419,73.3,4.52,1.18,5.04,113.2,1425.0,4.57,4195.0,Normal
420,76.5,4.08,1.15,4.96,114.4,1445.0,4.22,4198.0,Normal
421,74.5,4.88,1.1,5.32,121.2,1431.0,4.47,4211.0,Normal
422,71.4,4.76,1.12,5.1,110.4,1434.0,4.64,4250.0,Normal
423,76.1,3.97,1.22,5.07,109.1,1430.0,4.51,4228.0,Normal
424,72.9,4.46,1.16,4.99,117.0,1431.0,4.3,4211.0,Normal
425,78.1,4.33,1.13,5.45,112.6,1473.0,4.51,4267.0,Normal
426,76.5,4.63,1.18,4.97,113.6,1450.0,4.77,4209.0,Normal
427,73.4,3.7,1.12,5.05,112.2,1453.0,4.7,4228.0,Normal
428,76.9,4.36,1.23,5.15,113.8,1446.0,4.51,4280.0,Normal
429,74.5,4.52,1.22,5.17,119.4,1421.0,4.66,4295.0,Normal
430,76.1,3.4,1.13,5.21,117.0,1445.0,4.46,4253.0,Normal
431,75.4,3.63,1.12,5.31,117.1,1453.0,4.27,4289.0,Normal
432,72.7,3.29,1.02,5.16,110.3,1429.0,4.38,4292.0,Normal
433,73.2,4.01,1.08,4.97,111.0,1451.0,4.76,4305.0,Normal
434,76.5,4.4,1.09,5.07,106.0,1448.0,4.48,4358.0,Normal
435,73.8,4.72,1.16,5.13,112.0,1462.0,4.49,4361.0,Normal
436,73.7,4.16,1.14,5.34,117.3,1435.0,4.48,4349.0,Normal
437,72.6,4.78,1.09,4.93,116.0,1426.0,4.81,4344.0,Normal
438,75.4,3.58,1.14,5.24,113.8,1435.0,4.77,4330.0,Normal
439,78.7,3.46,1.18,5.12,114.3,1457.0,4.86,4423.0,Normal
440,72.4,4.12,1.18,5.19,112.3,1417.0,4.51,4408.0,Normal
441,74.6,4.3,1.06,5.08,115.0,1414.0,4.57,4379.0,Normal
442,77.4,4.14,1.15,4.99,116.7,1440.0,4.3,4432.0,Normal
443,74.5,3.33,1.08,5.18,109.5,1434.0,4.75,4418.0,Normal
444,75.6,4.13,1.2,5.17,115.2,1439.0,4.36,4421.0,Normal
445,72.6,3.65,1.19,5.21,117.1,1450.0,4.57,4453.0,Normal
446,75.6,4.44,1.11,5.09,113.1,1432.0,4.37,4428.0,Normal
447,74.3,4.33,1.11,5.02,116.4,1417.0,4.45,4450.0,Normal
448,76.7,3.81,1.13,4.9,122.7,1464.0,4.41,4474.0,Normal
449,77.1,3.98,1.04,5.19,114.0,1427.0,4.45,4465.0,Normal
450,80.0,3.77,1.17,5.14,115.4,1426.0,4.46,4510.0,Normal
451,76.0,4.17,1.14,4.97,112.0,1452.0,4.46,4556.0,Normal
452,75.5,4.58,1.2,5.02,114.8,1434.0,4.67,4487.0,Normal
453,75.2,3.81,1.1,5.03,115.6,1438.0,4.38,4470.0,Normal
454,74.1,4.41,1.12,4.91,114.8,1445.0,4.58,4470.0,Normal
455,75.5,4.0,1.08,4.99,111.1,1452.0,4.73,4535.0,Normal
456,74.3,3.9,1.1,4.95,114.8,1435.0,4.47,4530.0,Normal
457,75.2,4.18,1.09,5.04,118.5,1457.0,4.44,4566.0,Normal
458,77.6,3.82,1.2,5.0,115.5,1413.0,4.51,4574.0,Normal
459,72.9,4.01,1.12,4.89,117.0,1448.0,4.72,4532.0,Normal
460,77.2,3.76,1.16,5.33,113.4,1428.0,4.58,4536.0,Normal
461,77.6,5.03,1.13,5.23,116.3,1455.0,4.47,4609.0,Normal
462,74.8,4.27,1.09,4.99,114.9,1440.0,4.62,4614.0,Normal
463,70.8,3.98,1.14,5.12,111.2,1430.0,4.39,4607.0,Normal
464,73.8,4.35,1.18,5.13,115.0,1446.0,4.65,4580.0,Normal
465,77.7,4.22,1.09,5.23,111.0,1449.0,4.61,4654.0,Normal
466,75.0,4.18,1.19,4.98,112.1,1446.0,4.51,4688.0,Normal
467,73.1,4.52,1.11,5.21,114.6,1426.0,4.43,4668.0,Normal
468,74.1,4.58,1.12,5.02,114.9,1432.0,4.42,4645.0,Normal
469,76.8,4.07,1.18,4.92,110.4,1438.0,4.64,4681.0,Normal
470,76.3,4.06,1.12,5.17,117.1,1438.0,4.74,4649.0,Normal
471,74.7,4.19,1.15,5.23,115.6,1447.0,4.46,4732.0,Normal
472,74.5,3.38,1.13,5.39,111.8,1414.0,4.63,4712.0,Normal
473,74.4,3.7,1.15,4.93,109.3,1442.0,4.25,4667.0,Normal
474,73.4,4.86,1.03,5.16,113.4,1434.0,4.47,4721.0,Normal
475,78.5,4.97,1.06,5.03,112.5,1428.0,4.56,4754.0,Normal
476,74.6,4.22,1.18,5.17,114.2,1429.0,4.43,4740.0,Normal
477,77.7,4.56,1.2,4.9,112.7,1435.0,4.42,4752.0,Normal
478,78.4,4.45,1.1,4.92,107.8,1394.0,4.47,4733.0,Normal
479,77.3,5.57,1.13,4.98,112.6,1429.0,4.61,4797.0,Normal
480,74.5,4.79,1.16,5.09,112.9,1427.0,4.54,4771.0,Normal
481,76.2,4.29,1.18,5.0,115.7,1444.0,4.23,4735.0,Normal
482,75.4,3.97,1.04,5.15,111.7,1428.0,4.25,4799.0,Normal
483,73.6,3.71,1.1,5.2,118.8,1435.0,4.48,4849.0,Normal
484,76.1,4.44,1.13,5.15,108.0,1456.0,4.64,4818.0,Normal
485,73.1,4.06,1.18,5.27,117.6,1449.0,4.16,4892.0,Normal
486,77.9,3.8,1.27,5.12,113.0,1448.0,4.5,4863.0,Normal
487,74.6,4.12,1.13,4.93,116.3,1431.0,4.5,4870.0,Normal
488,75.9,3.95,1.07,5.24,113.9,1444.0,4.78,4866.0,Normal
489,76.1,5.06,1.16,5.0,117.1,1434.0,4.52,4878.0,Normal
490,75.0,4.74,1.21,5.18,112.5,1435.0,4.64,4882.0,Normal
491,76.8,4.39,1.15,5.26,110.3,1442.0,4.6,4891.0,Normal
492,74.7,4.99,1.1,5.12,117.9,1430.0,4.26,4926.0,Normal
493,77.4,4.44,1.19,4.89,113.2,1455.0,4.7,4892.0,Normal
494,73.0,4.07,1.18,4.96,114.2,1435.0,4.61,4898.0,Normal
495,75.9,5.03,1.09,5.23,117.3,1444.0,4.66,4906.0,Normal
496,79.6,4.64,1.16,5.05,110.4,1454.0,5.17,5011.0,Normal
497,73.7,4.01,1.19,5.08,115.3,1449.0,4.27,4976.0,Normal
498,74.4,4.36,1.2,5.16,111.7,1420.0,4.85,4979.0,Normal
499,76.8,4.09,1.14,5.15,113.1,1442.0,4.54,4948.0,Normal
500,76.1,3.89,1.12,5.1,113.7,1447.0,4.63,5009.0,Normal
501,76.5,4.82,1.2,5.04,108.9,1447.0,4.58,4997.0,Normal
502,76.8,5.22,1.08,5.03,111.1,1423.0,4.53,5016.0,Normal
503,77.1,3.9,1.16,5.17,117.5,1429.0,4.51,4991.0,Normal
504,78.1,4.69,1.07,5.13,116.1,1448.0,4.64,5035.0,Normal
505,76.7,4.21,1.19,5.03,113.2,1427.0,4.37,5027.0,Normal
506,75.4,4.28,1.13,5.19,114.1,1433.0,4.71,5027.0,Normal
507,77.3,4.24,1.2,5.05,112.5,1455.0,4.53,5082.0,Normal
508,79.7,4.14,1.17,4.96,117.4,1436.0,4.43,5024.0,Normal
509,75.7,4.51,1.08,4.97,112.7,1427.0,4.53,5097.0,Normal
510,74.0,4.16,1.21,4.94,114.0,1426.0,4.79,5111.0,Normal
511,78.2,4.61,1.22,5.03,116.7,1440.0,4.52,5074.0,Normal
512,75.8,4.49,1.18,5.21,110.9,1420.0,4.65,5085.0,Normal
513,71.7,4.42,1.1,4.96,117.9,1433.0,4.49,5113.0,Normal
514,77.8,4.15,1.12,5.08,108.6,1440.0,4.72,5138.0,Normal
515,75.0,4.29,1.15,4.98,118.1,1451.0,4.71,5135.0,Normal
516,75.9,4.83,1.1,5.03,112.1,1444.0,4.88,5163.0,Normal
517,76.8,4.73,1.22,4.88,112.5,1427.0,4.58,5213.0,Normal
518,76.5,4.15,1.15,5.03,107.5,1450.0,4.71,5155.0,Normal
519,77.6,4.58,1.0,5.03,111.8,1432.0,4.62,5129.0,Normal
520,75.3,4.85,1.16,5.12,110.0,1421.0,4.8,5215.0,Normal
521,77.2,3.89,1.12,5.08,111.3,1434.0,4.5,5250.0,Normal
522,75.7,4.78,1.13,4.91,112.7,1453.0,4.72,5222.0,Normal
523,77.7,4.3,1.12,5.18,116.0,1437.0,4.58,5187.0,Normal
524,77.5,4.8,1.18,5.08,113.7,1436.0,4.6,5226.0,Normal
525,74.4,4.27,1.19,5.08,114.0,1455.0,4.63,5206.0,Normal
526,78.5,3.86,1.15,5.05,109.7,1418.0,4.65,5269.0,Normal
527,75.3,3.94,1.12,4.99,110.4,1420.0,4.6,5219.0,Normal
528,78.0,4.61,1.13,5.08,118.4,1416.0,4.65,5261.0,Normal
529,77.1,4.7,1.14,5.11,110.8,1440.0,4.86,5250.0,Normal
530,80.1,4.24,1.1,4.84,117.9,1437.0,4.77,5294.0,Normal
531,76.0,4.86,1.16,4.99,112.2,1454.0,4.75,5289.0,Normal
532,75.8,3.95,1.16,5.02,112.9,1438.0,4.55,5315.0,Normal
533,76.4,4.59,1.21,5.08,116.1,1430.0,4.49,5321.0,Normal
534,75.9,4.14,1.2,5.19,116.7,1435.0,4.77,5300.0,Normal
535,78.1,4.37,1.1,4.96,112.5,1436.0,4.76,5359.0,Normal
536,73.3,4.65,1.18,4.99,111.7,1415.0,4.85,5349.0,Normal
537,74.5,4.3,1.09,4.99,112.7,1467.0,4.54,5330.0,Normal
538,74.4,4.49,1.17,4.95,113.8,1441.0,4.59,5437.0,Normal
539,78.5,5.05,1.11,5.0,115.5,1437.0,4.38,5394.0,Normal
540,80.1,4.43,1.08,5.14,112.8,1442.0,4.57,5385.0,Normal
541,76.4,5.0,1.15,4.92,114.6,1443.0,4.78,5442.0,Normal
542,76.3,4.22,1.0,5.1,117.7,1433.0,4.56,5465.0,Normal
543,76.8,4.89,1.05,4.84,113.9,1427.0,4.73,5416.0,Normal
544,79.0,5.26,1.12,4.98,113.7,1442.0,4.61,5440.0,Normal
545,74.9,3.7,1.14,5.0,108.1,1439.0,4.69,5410.0,Normal
546,77.2,4.37,1.11,5.24,104.8,1425.0,4.47,5446.0,Normal
547,78.7,4.93,1.05,5.01,113.8,1451.0,4.65,5454.0,Normal
548,77.8,4.62,1.09,4.78,112.4,1438.0,4.19,5476.0,Normal
549,77.2,4.86,1.15,4.8,111.1,1443.0,4.61,5490.0,Normal
550,78.9,4.47,1.16,5.05,113.3,1451.0,4.4,5507.0,Normal
551,71.5,4.75,1.13,5.11,112.4,1434.0,4.82,5507.0,Normal
552,78.3,4.66,1.19,5.08,116.0,1438.0,4.76,5474.0,Normal
553,75.6,5.2,1.15,5.06,112.8,1444.0,4.72,5492.0,Normal
554,73.3,4.84,1.09,5.18,110.3,1425.0,4.88,5514.0,Normal
555,78.0,4.88,1.12,4.97,115.5,1434.0,4.51,5532.0,Normal
556,79.7,4.58,1.06,5.15,111.9,1435.0,4.91,5582.0,Normal
557,76.7,4.56,1.12,4.84,114.1,1422.0,4.79,5525.0,Normal
558,78.9,4.59,1.19,4.93,111.0,1461.0,4.62,5559.0,Normal
559,80.3,4.92,1.16,4.82,110.5,1417.0,4.82,5609.0,Normal
560,79.7,4.6,1.2,5.0,112.7,1418.0,4.49,5581.0,Normal
561,80.4,4.89,1.11,5.03,112.5,1449.0,4.53,5614.0,Normal
562,78.6,5.61,1.2,5.05,113.8,1442.0,4.56,5606.0,Normal
563,77.3,5.14,1.12,5.04,111.6,1421.0,4.58,5628.0,Normal
564,74.0,4.66,1.2,4.92,106.9,1441.0,4.5,5623.0,Normal
565,76.7,5.28,1.13,5.01,111.0,1451.0,4.84,5660.0,Normal
566,75.5,4.64,1.16,4.85,114.7,1433.0,4.62,5604.0,Normal
567,81.6,3.99,1.2,5.2,111.4,1464.0,4.71,5649.0,Normal
568,76.9,4.41,1.12,4.99,111.6,1412.0,4.58,5679.0,Normal
569,77.5,4.07,1.14,4.97,115.2,1441.0,4.39,5696.0,Normal
570,78.4,4.69,1.19,5.22,110.1,1447.0,4.71,5735.0,Normal
571,77.4,4.84,1.12,4.88,107.6,1444.0,4.38,5688.0,Normal
572,80.7,5.51,1.06,4.89,111.7,1430.0,4.66,5754.0,Normal
573,76.1,4.98,1.23,4.9,110.8,1429.0,4.46,5700.0,Normal
574,77.8,4.76,1.1,5.02,109.3,1438.0,4.97,5770.0,Normal
575,75.9,5.19,1.13,5.08,111.6,1443.0,4.81,5765.0,Normal
576,74.8,3.98,1.18,5.12,113.6,1440.0,4.69,5723.0,Normal
577,76.2,4.96,1.09,5.34,112.1,1445.0,4.86,5769.0,Normal
578,77.4,5.18,1.07,4.76,113.0,1420.0,4.55,5768.0,Normal
579,76.7,4.29,1.14,5.1,117.5,1430.0,4.76,5799.0,Normal
580,76.2,5.34,1.03,4.96,111.0,1421.0,4.71,5783.0,Normal
581,74.8,5.03,1.11,4.95,112.9,1428.0,4.72,5791.0,Normal
582,77.4,4.73,1.14,4.95,110.5,1445.0,4.87,5851.0,Normal
583,74.6,5.16,1.11,4.91,109.5,1434.0,4.79,5817.0,Normal
584,79.2,5.82,1.05,5.22,110.2,1464.0,4.73,5855.0,Normal
585,77.8,4.99,1.2,5.12,110.5,1435.0,4.43,5833.0,Normal
586,74.8,5.02,1.13,5.02,113.0,1433.0,4.54,5900.0,Normal
587,77.1,4.74,1.19,5.18,119.0,1433.0,4.67,5840.0,Normal
588,76.2,4.59,1.11,4.84,109.8,1424.0,4.7,5852.0,Normal
589,78.4,5.27,1.08,4.86,110.7,1431.0,4.52,5926.0,Normal
590,80.5,4.6,1.14,4.76,111.7,1445.0,5.05,5877.0,Normal
591,74.1,4.98,1.11,4.93,113.1,1433.0,4.92,5948.0,Normal
592,78.1,4.77,1.06,5.04,112.6,1422.0,4.78,5937.0,Normal
593,77.5,5.15,1.19,5.03,115.7,1421.0,4.7,5915.0,Normal
594,79.2,5.1,1.09,5.04,104.5,1426.0,4.66,5876.0,Normal
595,78.3,5.39,1.03,4.85,104.6,1433.0,4.55,5939.0,Normal
596,76.4,4.78,1.19,5.11,110.3,1446.0,4.71,5953.0,Normal
597,77.3,4.88,1.1,5.04,115.0,1415.0,4.74,5995.0,Normal
598,76.4,4.6,1.09,5.1,107.0,1428.0,4.51,6018.0,Normal
599,80.1,4.82,1.03,4.79,102.7,1433.0,4.75,5959.0,Normal
600,78.1,5.16,1.21,5.05,113.4,1409.0,4.68,6014.0,Normal
601,81.8,5.31,1.06,4.87,112.4,1421.0,4.42,6023.0,Normal
602,77.9,4.65,1.12,4.97,108.4,1423.0,4.57,6042.0,Normal
603,76.7,5.37,1.16,5.08,108.7,1422.0,4.64,6035.0,Normal
604,75.1,5.57,1.14,5.02,108.7,1433.0,4.99,5972.0,Normal
605,74.5,5.2,1.12,4.91,111.9,1429.0,4.79,6035.0,Normal
606,75.0,5.79,1.03,5.01,109.7,1424.0,4.51,6015.0,Normal
607,78.7,4.74,1.08,4.83,113.1,1436.0,4.78,6054.0,Normal
608,79.2,4.55,1.13,5.15,103.0,1452.0,4.48,6099.0,Normal
609,75.1,4.35,1.08,4.98,109.0,1451.0,4.87,6089.0,Normal
610,80.0,5.66,1.13,5.14,108.1,1408.0,4.64,6124.0,Normal
611,77.3,5.33,1.15,4.94,110.7,1438.0,4.7,6110.0,Normal
612,78.6,5.05,1.17,4.94,109.9,1429.0,4.91,6071.0,Normal
613,81.6,5.2,1.06,4.91,113.8,1433.0,4.52,6044.0,Normal
614,80.2,4.64,1.23,5.11,105.9,1426.0,4.51,6134.0,Normal
615,77.8,6.07,1.15,4.92,111.6,1432.0,4.63,6134.0,Normal
616,76.6,5.15,1.12,5.08,113.1,1432.0,4.88,6121.0,Normal
617,74.1,5.15,1.17,4.96,116.9,1423.0,4.49,6109.0,Normal
618,77.0,5.4,1.23,4.77,109.9,1420.0,4.3,6148.0,Normal
619,78.1,5.31,1.04,4.93,112.3,1425.0,4.66,6174.0,Normal
620,76.5,5.22,1.1,4.86,105.9,1433.0,4.81,6210.0,Normal
621,78.3,4.82,1.0,5.01,104.1,1437.0,4.91,6206.0,Normal
622,78.7,5.33,1.12,4.86,113.8,1440.0,4.66,6258.0,Normal
623,78.1,5.9,1.13,5.11,111.2,1424.0,4.67,6189.0,Normal
624,77.3,5.69,1.11,4.99,114.8,1433.0,4.9,6256.0,Normal
625,79.0,5.79,1.08,4.98,107.1,1442.0,4.45,6241.0,Normal
626,79.5,4.96,1.01,5.08,112.8,1444.0,4.67,6271.0,Normal
627,76.5,4.77,1.13,5.11,116.8,1429.0,4.76,6247.0,Normal
628,81.5,5.13,1.19,5.0,112.4,1427.0,4.8,6302.0,Normal
629,78.5,5.2,1.08,4.9,112.0,1432.0,4.66,6289.0,Normal
630,78.8,5.63,1.13,4.78,111.1,1416.0,4.74,6270.0,Normal
631,80.2,4.52,1.03,4.91,106.4,1427.0,4.37,6300.0,Normal
632,79.3,5.81,1.13,4.92,115.1,1438.0,4.64,6303.0,Normal
633,80.7,5.14,1.09,5.01,109.2,1437.0,4.81,6335.0,Normal
634,79.4,5.04,1.07,4.95,112.6,1426.0,4.6,6295.0,Normal
635,77.7,4.82,1.07,5.08,106.3,1432.0,4.75,6339.0,Normal
636,79.6,4.56,1.09,4.92,107.5,1419.0,4.81,6362.0,Normal
637,76.6,5.56,1.13,4.99,115.3,1438.0,4.7,6361.0,Normal
638,79.2,5.27,1.04,5.13,109.9,1428.0,4.77,6410.0,Normal
639,78.9,4.73,1.09,5.03,115.3,1426.0,4.6,6403.0,Normal
640,78.6,4.73,1.11,4.98,110.7,1425.0,4.72,6390.0,Normal
641,78.8,5.12,1.05,4.92,105.4,1428.0,4.84,6407.0,Normal
642,75.3,5.93,1.2,4.91,113.6,1424.0,4.78,6419.0,Normal
643,78.0,5.17,1.07,4.89,109.1,1437.0,4.67,6432.0,Normal
644,79.3,4.68,1.08,4.92,112.9,1424.0,4.79,6375.0,Normal
645,79.5,5.19,1.06,5.08,110.9,1448.0,4.86,6431.0,Normal
646,77.1,5.18,1.2,4.96,106.2,1446.0,4.45,6405.0,Normal
647,81.7,4.22,1.14,4.82,111.3,1418.0,4.93,6498.0,Normal
648,77.5,5.28,1.06,5.2,117.4,1429.0,4.71,6468.0,Normal
649,81.2,5.22,1.16,5.02,112.2,1421.0,4.83,6474.0,Normal
650,80.1,5.59,1.12,4.82,110.6,1425.0,4.94,6517.0,Normal
651,78.0,6.06,1.12,4.93,113.9,1452.0,4.56,6513.0,Normal
652,82.9,5.78,1.09,5.0,111.3,1425.0,4.66,6476.0,Normal
653,77.0,5.23,1.07,5.19,111.3,1433.0,4.72,6518.0,Normal
654,81.2,4.9,1.12,4.85,107.4,1435.0,4.65,6520.0,Normal
655,81.4,6.38,1.08,5.1,111.3,1416.0,5.03,6488.0,Normal
656,78.1,5.38,1.2,5.15,113.7,1418.0,4.64,6529.0,Normal
657,82.2,5.37,1.04,4.91,108.1,1414.0,4.69,6554.0,Normal
658,79.0,5.36,1.18,4.95,114.8,1417.0,4.8,6567.0,Normal
659,80.1,5.45,1.1,4.86,110.3,1394.0,4.59,6536.0,Normal
660,80.0,5.32,1.12,4.95,107.9,1434.0,4.72,6625.0,Normal
661,79.3,5.16,1.15,4.97,113.5,1452.0,4.82,6597.0,Normal
662,81.2,5.17,1.07,5.06,109.6,1430.0,4.73,6611.0,Normal
663,81.2,5.39,1.15,5.11,112.7,1411.0,4.77,6632.0,Normal
664,76.1,5.19,0.97,4.89,109.6,1420.0,4.7,6606.0,Normal
665,82.3,5.13,1.07,4.74,110.2,1422.0,4.56,6654.0,Normal
666,76.4,5.46,1.06,4.97,111.9,1415.0,4.83,6639.0,Normal
667,81.8,5.32,1.04,5.01,111.2,1438.0,5.05,6633.0,Normal
668,82.0,6.03,1.09,5.0,104.4,1437.0,4.79,6687.0,Normal
669,77.6,4.38,1.12,4.93,107.0,1413.0,4.82,6725.0,Normal
670,79.0,5.88,1.14,4.99,113.1,1436.0,4.89,6712.0,Normal
671,77.6,5.95,1.11,5.15,109.9,1446.0,4.6,6728.0,Normal
672,79.4,4.63,1.07,5.02,108.7,1450.0,5.05,6694.0,Normal
673,79.2,5.33,1.12,4.93,106.2,1461.0,4.82,6672.0,Normal
674,81.4,5.32,1.11,4.91,107.0,1416.0,5.04,6775.0,Normal
675,82.5,4.92,1.15,4.95,104.1,1461.0,4.69,6802.0,Normal
676,82.7,5.17,1.14,5.17,109.9,1423.0,5.07,6796.0,Normal
677,78.8,5.05,1.1,4.95,108.4,1420.0,4.91,6750.0,Normal
678,79.6,6.2,1.06,4.97,107.2,1431.0,4.88,6735.0,Normal
679,76.7,5.88,1.07,4.91,109.9,1420.0,4.84,6748.0,Normal
680,78.4,6.02,1.07,5.1,111.2,1431.0,4.77,6739.0,Normal
681,82.0,5.81,1.08,5.2,116.4,1411.0,4.98,6797.0,Normal
682,83.3,5.07,1.11,5.02,105.5,1424.0,4.83,6858.0,Normal
683,77.7,5.32,1.13,4.97,113.5,1442.0,4.51,6816.0,Normal
684,79.0,5.73,1.1,4.97,112.9,1426.0,4.64,6839.0,Normal
685,80.1,5.06,1.1,4.68,107.7,1428.0,4.78,6881.0,Normal
686,80.8,5.84,1.11,5.05,110.6,1432.0,4.86,6838.0,Normal
687,78.6,5.46,1.07,4.98,108.6,1440.0,4.8,6921.0,Normal
688,81.1,5.42,1.05,5.01,110.5,1406.0,5.0,6930.0,Normal
689,79.3,5.86,1.01,4.88,114.4,1433.0,4.52,6876.0,Normal
690,80.3,5.76,1.06,4.91,111.7,1423.0,4.84,6873.0,Normal
691,81.4,5.44,1.12,4.91,111.4,1428.0,4.54,6921.0,Normal
692,80.4,6.06,1.06,5.08,108.6,1439.0,4.93,6900.0,Normal
693,79.5,5.17,1.08,4.91,105.4,1412.0,4.81,6885.0,Normal
694,80.2,5.85,1.12,5.21,109.2,1414.0,4.88,6968.0,Normal
695,80.3,5.85,1.12,5.01,113.4,1403.0,4.69,6976.0,Normal
